"alpha_base","gamma_work","gamma_school","gamma_shopping","gamma_private","gamma_leisure","delta_work","delta_school","delta_shopping","delta_private","delta_leisure","delta_work_FT","delta_work_wknd","delta_school_young","delta_leisure_wknd","logLike"
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-8954.38181634705
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-8954.38181634705
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-8954.38181634705
0.423172450973652,1.08866013085935,0.997958372114226,0.779528804356232,0.890824186149985,0.937934329500422,-0.0416134222177789,-0.707143620820716,-0.249532662564889,-0.412089755991474,0.0446959398686886,0.0582864187890664,-0.235818646615371,-0.16740784922149,0.106980040436611,-8392.76504133293
0.27295519362242,1.08490679323921,0.990573056349975,0.183150897627518,0.624095969896461,0.645794665364803,-0.408458659671761,-1.43518748155773,-0.753247779740581,-1.00116480741771,-0.42772007376154,-0.0128087532942706,-0.728003728584305,-0.298066737648116,0.097729950021091,-7691.30686248453
0.255453077272614,1.08423040704703,0.989378587346579,0.0629983889217026,0.573827110800634,0.59378575764322,-0.475692705012372,-1.56060789134239,-0.843957295597761,-1.10713206046926,-0.517369311425595,-0.0248178377271521,-0.814008890782704,-0.319348798011024,0.0939232308309659,-7577.23819293814
0.595532339365259,1.04405672507298,0.986529291505788,0.0383472855933434,0.0339226801379995,0.186984578183153,-1.15041415174434,-2.15236076412644,-1.4930915354814,-1.92512094596494,-1.59733690924435,-0.122291892118481,-1.37144800959572,-0.335989711920632,-0.099049376165643,-6981.63883295203
0.980116561546471,0.957053914287061,0.983402174166511,0.0175111440486808,0.488126474263452,0.0936480817170684,-1.95710868040914,-2.69682475339266,-2.30604480106324,-2.79337571389882,-2.78819619304106,-0.193805306043885,-1.90638703710781,-0.289352330773592,-0.306746292494847,-6879.28570559981
0.994903101686438,0.94405244399695,0.983161671672031,0.0181118153557665,0.485305150917029,0.21819945512817,-2.04742218970026,-2.75676917478499,-2.42156242098306,-2.90353200197487,-2.91794843932132,-0.175234661900271,-1.94915721260502,-0.272447109738415,-0.323075403260602,-6844.28891749127
